"TELERIDE_NUMBER","STOP_NAME","POINT"
"4941","EB Shawville WY @ W. of Shawville LI SE","POINT (-114.0685686 50.8997525)"
"8313","SB Queensland DR @ Queen Alexandra CL SE","POINT (-114.0289607 50.9358102)"
"7585","EB 9 AV SE @ Macleod TR","POINT (-114.0574175 51.0443541)"
"6987","NB 14 ST NW @ MacEwan DR","POINT (-114.1071109 51.1352376)"
"8438","WB Citadel DR @ Citadel MR NW","POINT (-114.1782759 51.1418527)"
"3850","NB Tuscany WY @ Tuscany  BV NW","POINT (-114.246966 51.1252914)"
"9954","NB Sirocco DR @ Signature PK SW","POINT (-114.168301 51.0363647)"
"9179","EB Southland DR @ Bradbury DR SW","POINT (-114.0981688 50.9612446)"
"6468","SB Parkvalley DR @ W. of Parkridge DR SE","POINT (-114.0236331 50.9133576)"
"4906","EB Coventry DR @ Coventry CL NE","POINT (-114.046712 51.1568795)"
"6057","SB Sarcee RD @ 34 AV SW","POINT (-114.1297163 51.0229019)"
"7947","EB Douglas Glen BV @ Douglas Glen PL SE","POINT (-114.0078719 50.9507519)"
"6882","WB Beddington BV @ Beddington DR NE","POINT (-114.0634524 51.1252708)"
"6396","NB Edgmont BV @ Edgedale DR NW","POINT (-114.1554122 51.1190727)"
"4502","EB Whitehorn DR @ 38 ST NE","POINT (-113.9781057 51.084965)"
"9705","EB Hidden Creek WY @ Hidden Creek PT NW","POINT (-114.0950956 51.1592343)"
"2862","EB Southland DR @ Maplecreek DR SE","POINT (-114.04166 50.964613)"
"5887","EB 11 AV SE @ 28 ST SE","POINT (-113.9934503 51.0428146)"
"4428","NB 11 ST SE @ 60 AV SE","POINT (-114.0372766 50.9984202)"
"5462","EB 96 AV NE@ Harvest Rose PA","POINT (-114.061697 51.1413661)"
"3988","WB Varsity DR @ 37 ST NW","POINT (-114.1417245 51.0891551)"
"8743","SB Centre ST N @ 25 AV N","POINT (-114.062665 51.074835)"
"6627","EB 14 AV NW @ 19 ST NW","POINT (-114.1056383 51.0650807)"
"7375","SB Mount McKenzie DR @ Mount McKenzie BA SE","POINT (-113.9826666 50.9296569)"
"2439","NB 73 ST SW @ Aspen Ridge HT","POINT (-114.193378 51.039333)"
"3746","Richmond Road Station (SB)","POINT (-114.1413234 51.0226353)"
"7123","NB Varsity Estates DR @ Varsity Estates PL NW","POINT (-114.1727074 51.1052269)"
"9524","EB Prestwick GA @ Prestwick CI SE","POINT (-113.9603294 50.925362)"
"9100","NB Parkland BV @ Parkland WY SE","POINT (-114.0304038 50.9261233)"
"7295","NB Edmonton TR @ 38 AV NE","POINT (-114.051582 51.0876792)"
"6778","EB 24 AV NW @ 7 ST NW","POINT (-114.0784654 51.0742418)"
"7267","NB Midpark BV @ Sun Valley BV SW","POINT (-114.0552601 50.9070991)"
"9277","WB Wentworth DR @ 700 Wentworth PL SW","POINT (-114.2060484 51.0543818)"
"2861","EB Southland DR @ Acadia DR SE","POINT (-114.048288 50.9639155)"
"9820","WB 9 AV @ 12 ST SE","POINT (-114.0348208 51.0415302)"
"6566","SB Dalton DR (West) @ Dalhousie DR NW","POINT (-114.1552654 51.1044851)"
"7804","SB 14 ST NW @ MacEwan DR","POINT (-114.1073207 51.1343973)"
"6660","NB Centre ST N @ 38 AV N","POINT (-114.0623614 51.0875101)"
"4723","WB Taradale DR @ Taracove RD NE","POINT (-113.9377607 51.1141286)"
"3473","EB Ranchview DR @ Ranchlands BV NW","POINT (-114.1794648 51.1200344)"
"9138","SB 24 ST @ Douglas Glen GA SE","POINT (-114.0013505 50.9531976)"
